#,nombre,fase,color_2_prueba,altura_m,peso_kg,mega,forma_regional,metodo,mejor_stat,detalle_pokeapi
494,Victini,ÚNICA,Blanco,0.4,4.0,no,no,NINGUNO,NO TIENE,
495,Snivy,FASE 1,Blanco,0.6,8.1,no,no,NINGUNO,Velocidad,
496,Servine,FASE 2,Blanco,0.8,16.0,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=17
497,Serperior,FASE 3,ninguno,3.3,63.0,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=36
498,Tepig,FASE 1,Negro,0.5,9.9,su evolución,no,NINGUNO,PS,
499,Pignite,FASE 2,Negro,1.0,55.5,su evolución,no,NIVEL,Ataque,level-up version_group=black-white min_level=17
500,Emboar,FASE 3,Negro,1.6,150.0,sí,no,NIVEL,Ataque,level-up version_group=black-white min_level=36
501,Oshawott,FASE 1,Blanco,0.5,5.9,no,no,NINGUNO,At. Esp.,
502,Dewott,FASE 2,Verde,0.8,24.5,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=17
503,Samurott,FASE 3,Amarillo,1.5,94.6,no,Hisui,NIVEL,At. Esp.,level-up version_group=black-white min_level=36
504,Patrat,FASE 1,Rojo,0.5,11.6,no,no,NINGUNO,Ataque,
505,Watchog,FASE 2,Rojo,1.1,27.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=20
506,Lillipup,FASE 1,Amarillo,0.4,4.1,no,no,NINGUNO,Ataque,
507,Herdier,FASE 2,Marrón,0.9,14.7,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=16
508,Stoutland,FASE 3,Blanco,1.2,61.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=32
509,Purrloin,FASE 1,Rosa,0.4,10.1,no,no,NINGUNO,Velocidad,
510,Liepard,FASE 2,Amarillo,1.1,37.5,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=20
511,Pansage,FASE 1,Marrón,0.6,10.5,no,no,NINGUNO,Velocidad,
512,Simisage,FASE 2,Marrón,1.1,30.5,no,no,PIEDRA,Velocidad,use-item version_group=black-white item=leaf-stone
513,Pansear,FASE 1,Marrón,0.6,11.0,no,no,NINGUNO,Velocidad,
514,Simisear,FASE 2,Marrón,1.0,28.0,no,no,PIEDRA,Velocidad,use-item version_group=black-white item=fire-stone
515,Panpour,FASE 1,Marrón,0.6,13.5,no,no,NINGUNO,Velocidad,
516,Simipour,FASE 2,Marrón,1.0,29.0,no,no,PIEDRA,Velocidad,use-item version_group=black-white item=water-stone
517,Munna,FASE 1,Morado,0.6,23.3,no,no,NINGUNO,PS,
518,Musharna,FASE 2,Morado,1.1,60.5,no,no,PIEDRA,PS,use-item version_group=black-white item=moon-stone
519,Pidove,FASE 1,Blanco,0.3,2.1,no,no,NINGUNO,Ataque,
520,Tranquill,FASE 2,Blanco,0.6,15.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=21
521,Unfezant,FASE 3,Negro,1.2,29.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=32
522,Blitzle,FASE 1,Blanco,0.8,29.8,no,no,NINGUNO,Velocidad,
523,Zebstrika,FASE 2,Blanco,1.6,79.5,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=27
524,Roggenrola,FASE 1,Negro,0.4,18.0,no,no,NINGUNO,Defensa,
525,Boldore,FASE 2,Rojo,0.9,102.0,no,no,NIVEL,Ataque + Defensa,level-up version_group=black-white min_level=25
526,Gigalith,FASE 3,Rojo,1.7,260.0,no,no,INTERCAMBIO,Ataque,trade version_group=black-white
527,Woobat,FASE 1,Negro,0.4,2.1,no,no,NINGUNO,Velocidad,
528,Swoobat,FASE 2,Negro,0.9,10.5,no,no,AMISTAD,Velocidad,level-up version_group=black-white min_happiness=160
529,Drilbur,FASE 1,Negro,0.3,8.5,su evolución,no,NINGUNO,Ataque,
530,Excadrill,FASE 2,Negro,0.7,40.4,sí,no,NIVEL,Ataque,level-up version_group=black-white min_level=31
531,Audino,ÚNICA,Blanco,1.1,31.0,sí,no,NINGUNO,PS,
532,Timburr,FASE 1,Marrón,0.6,12.5,no,no,NINGUNO,Ataque,
533,Gurdurr,FASE 2,Rojo,1.2,40.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=25
534,Conkeldurr,FASE 3,Gris,1.4,87.0,no,no,INTERCAMBIO,Ataque,trade version_group=black-white
535,Tympole,FASE 1,Blanco,0.5,4.5,no,no,NINGUNO,Velocidad,
536,Palpitoad,FASE 2,Blanco,0.8,17.0,no,no,NIVEL,PS,level-up version_group=black-white min_level=25
537,Seismitoad,FASE 3,Verde,1.5,62.0,no,no,NIVEL,PS,level-up version_group=black-white min_level=36
538,Throh,ÚNICA,Blanco,1.3,55.5,no,no,NINGUNO,PS,
539,Sawk,ÚNICA,Verde,1.4,51.0,no,no,NINGUNO,Ataque,
540,Sewaddle,FASE 1,Verde,0.3,2.5,no,no,NINGUNO,Defensa,
541,Swadloon,FASE 2,Amarillo,0.5,7.3,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=20
542,Leavanny,FASE 3,Verde,1.2,20.5,no,no,AMISTAD,Ataque,level-up version_group=black-white min_happiness=220
543,Venipede,FASE 1,Verde,0.4,5.3,su evolución,no,NINGUNO,Defensa,
544,Whirlipede,FASE 2,Morado,1.2,58.5,su evolución,no,NIVEL,Defensa,level-up version_group=black-white min_level=22
545,Scolipede,FASE 3,Negro,2.5,200.5,sí,no,NIVEL,Velocidad,level-up version_group=black-white min_level=30
546,Cottonee,FASE 1,Blanco,0.3,0.6,no,no,NINGUNO,Velocidad,
547,Whimsicott,FASE 2,Blanco,0.7,6.6,no,no,PIEDRA,Velocidad,use-item version_group=black-white item=sun-stone
548,Petilil,FASE 1,Blanco,0.5,6.6,no,no,NINGUNO,At. Esp.,
549,Lilligant,FASE 2,Rojo,1.1,16.3,no,Hisui,PIEDRA,At. Esp.,use-item version_group=black-white item=sun-stone
550,Basculin,FASE 1,Blanco,1.0,18.0,no,no,NINGUNO,Velocidad,
551,Sandile,FASE 1,Negro,0.7,15.2,no,no,NINGUNO,Ataque,
552,Krokorok,FASE 2,Negro,1.0,33.4,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=29
553,Krookodile,FASE 3,Rosa,1.5,96.3,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=40
554,Darumaka,FASE 1,Amarillo,0.6,37.5,no,Galar,NINGUNO,Ataque,
555,Darmanitan,FASE 2,Marrón,1.3,92.9,no,Galar,NIVEL,Ataque,level-up version_group=black-white min_level=35
556,Maractus,ÚNICA,Rosa,1.0,28.0,no,no,NINGUNO,At. Esp.,
557,Dwebble,FASE 1,Amarillo,0.3,14.5,no,no,NINGUNO,Defensa,
558,Crustle,FASE 2,Marrón,1.4,200.0,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=34
559,Scraggy,FASE 1,Blanco,0.6,11.8,su evolución,no,NINGUNO,Ataque,
560,Scrafty,FASE 2,Amarillo,1.1,30.0,sí,no,NIVEL,Defensa + Def. Esp.,level-up version_group=black-white min_level=39
561,Sigilyph,ÚNICA,Amarillo,1.4,14.0,no,no,NINGUNO,At. Esp.,
562,Yamask,FASE 1,Rojo,0.5,1.5,no,Galar,NINGUNO,Defensa,
563,Cofagrigus,FASE 2,Negro,1.7,76.5,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=34
564,Tirtouga,FASE 1,ninguno,0.7,16.5,no,no,NINGUNO,Defensa,
565,Carracosta,FASE 2,ninguno,1.2,81.0,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=37
566,Archen,FASE 1,Rojo,0.5,9.5,no,no,NINGUNO,Ataque,
567,Archeops,FASE 2,Azul,1.4,32.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=37
568,Trubbish,FASE 1,ninguno,0.6,31.0,no,no,NINGUNO,Velocidad,
569,Garbodor,FASE 2,Marrón,1.9,107.3,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=36
570,Zorua,FASE 1,Azul,0.7,12.5,no,Hisui,NINGUNO,At. Esp.,
571,Zoroark,FASE 2,Rojo,1.6,81.1,no,Hisui,NIVEL,At. Esp.,level-up version_group=black-white min_level=30
572,Minccino,FASE 1,ninguno,0.4,5.8,no,no,NINGUNO,Velocidad,
573,Cinccino,FASE 2,Blanco,0.5,7.5,no,no,PIEDRA,Velocidad,use-item version_group=black-white item=shiny-stone
574,Gothita,FASE 1,Rosa,0.4,5.8,no,no,NINGUNO,Def. Esp.,
575,Gothorita,FASE 2,Negro,0.7,18.0,no,no,NIVEL,Def. Esp.,level-up version_group=black-white min_level=32
576,Gothitelle,FASE 3,Negro,1.5,44.0,no,no,NIVEL,Def. Esp.,level-up version_group=black-white min_level=41
577,Solosis,FASE 1,ninguno,0.3,1.0,no,no,NINGUNO,At. Esp.,
578,Duosion,FASE 2,ninguno,0.6,8.0,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=32
579,Reuniclus,FASE 3,ninguno,1.0,20.1,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=41
580,Ducklett,FASE 1,ninguno,0.5,5.5,no,no,NINGUNO,PS,
581,Swanna,FASE 2,Azul,1.3,24.2,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=35
582,Vanillite,FASE 1,Azul,0.4,5.7,no,no,NINGUNO,At. Esp.,
583,Vanillish,FASE 2,Azul,1.1,41.0,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=35
584,Vanilluxe,FASE 3,Azul,1.3,57.5,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=47
585,Deerling,FASE 1,Blanco,0.6,19.5,no,no,NINGUNO,Velocidad,
586,Sawsbuck,FASE 2,Rojo,1.9,92.5,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=34 required_pokemon_form=deerling-spring evolved_pokemon_form=sawsbuck-spring || level-up version_group=black-white min_level=34 required_pokemon_form=deerling-summer evolved_pokemon_form=sawsbuck-summer || level-up version_group=black-white min_level=34 required_pokemon_form=deerling-autumn evolved_pokemon_form=sawsbuck-autumn || level-up version_group=black-white min_level=34 required_pokemon_form=deerling-winter evolved_pokemon_form=sawsbuck-winter
587,Emolga,ÚNICA,Negro,0.4,5.0,no,no,NINGUNO,Velocidad,
588,Karrablast,FASE 1,Amarillo,0.5,5.9,no,no,NINGUNO,Ataque,
589,Escavalier,FASE 2,Rojo,1.0,33.0,no,no,INTERCAMBIO,Ataque,trade version_group=black-white trade_species=shelmet
590,Foongus,FASE 1,Marrón,0.2,1.0,no,no,NINGUNO,PS,
591,Amoonguss,FASE 2,Rojo,0.6,10.5,no,no,NIVEL,PS,level-up version_group=black-white min_level=39
592,Frillish,FASE 1,Azul,1.2,33.0,no,no,NINGUNO,Def. Esp.,
593,Jellicent,FASE 2,Azul,2.2,135.0,no,no,NIVEL,Def. Esp.,level-up version_group=black-white min_level=40
594,Alomomola,ÚNICA,ninguno,1.2,31.6,no,no,NINGUNO,PS,
595,Joltik,FASE 1,ninguno,0.1,0.6,no,no,NINGUNO,Velocidad,
596,Galvantula,FASE 2,Azul,0.8,14.3,no,no,NIVEL,Velocidad,level-up version_group=black-white min_level=36
597,Ferroseed,FASE 1,Verde,0.6,18.8,no,no,NINGUNO,Defensa,
598,Ferrothorn,FASE 2,Verde,1.0,110.0,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=40
599,Klink,FASE 1,Blanco,0.3,21.0,no,no,NINGUNO,Defensa,
600,Klang,FASE 2,Blanco,0.6,51.0,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=38
601,Klinklang,FASE 3,Blanco,0.6,81.0,no,no,NIVEL,Defensa,level-up version_group=black-white min_level=49
602,Tynamo,FASE 1,ninguno,0.2,0.3,su evolución,no,NINGUNO,Velocidad,
603,Eelektrik,FASE 2,Rojo,1.2,22.0,su evolución,no,NIVEL,Ataque,level-up version_group=black-white min_level=39
604,Eelektross,FASE 3,Amarillo,2.1,80.5,sí,no,PIEDRA,Ataque,use-item version_group=black-white item=thunder-stone
605,Elgyem,FASE 1,Verde,0.5,9.0,no,no,NINGUNO,At. Esp.,
606,Beheeyem,FASE 2,ninguno,1.0,34.5,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=42
607,Litwick,FASE 1,Morado,0.3,3.1,su evolución,no,NINGUNO,At. Esp.,
608,Lampent,FASE 2,Blanco,0.6,13.0,su evolución,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=41
609,Chandelure,FASE 3,Morado,1.0,34.3,sí,no,PIEDRA,At. Esp.,use-item version_group=black-white item=dusk-stone
610,Axew,FASE 1,Negro,0.6,18.0,no,no,NINGUNO,Ataque,
611,Fraxure,FASE 2,Gris,1.0,36.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=38
612,Haxorus,FASE 3,Marrón,1.8,105.5,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=48
613,Cubchoo,FASE 1,Azul,0.5,8.5,no,no,NINGUNO,Ataque,
614,Beartic,FASE 2,ninguno,2.6,260.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=37
615,Cryogonal,ÚNICA,ninguno,1.1,148.0,no,no,NINGUNO,Def. Esp.,
616,Shelmet,FASE 1,Blanco,0.4,7.7,no,no,NINGUNO,Defensa,
617,Accelgor,FASE 2,Azul,0.8,25.3,no,no,INTERCAMBIO,Velocidad,trade version_group=black-white trade_species=karrablast
618,Stunfisk,ÚNICA,Amarillo,0.7,11.0,no,Galar,NINGUNO,PS,
619,Mienfoo,FASE 1,Rojo,0.9,20.0,no,no,NINGUNO,Ataque,
620,Mienshao,FASE 2,Blanco,1.4,35.5,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=50
621,Druddigon,ÚNICA,Azul,1.6,139.0,no,no,NINGUNO,Ataque,
622,Golett,FASE 1,Amarillo,1.0,92.0,su evolución,no,NINGUNO,Ataque,
623,Golurk,FASE 2,Azul,2.8,330.0,sí,no,NIVEL,Ataque,level-up version_group=black-white min_level=43
624,Pawniard,FASE 1,Blanco,0.5,10.2,no,no,NINGUNO,Ataque,
625,Bisharp,FASE 2,Blanco,1.6,70.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=52
626,Bouffalant,ÚNICA,Negro,1.6,94.6,no,no,NINGUNO,Ataque,
627,Rufflet,FASE 1,Azul,0.5,10.5,no,no,NINGUNO,Ataque,
628,Braviary,FASE 2,Azul,1.5,41.0,no,Hisui,NIVEL,Ataque,level-up version_group=black-white min_level=54
629,Vullaby,FASE 1,Negro,0.5,9.0,no,no,NINGUNO,Defensa,
630,Mandibuzz,FASE 2,Negro,1.2,39.5,no,no,NIVEL,PS,level-up version_group=black-white min_level=54
631,Heatmor,ÚNICA,Marrón,1.4,58.0,no,no,NINGUNO,At. Esp.,
632,Durant,ÚNICA,Negro,0.3,33.0,no,no,NINGUNO,Defensa,
633,Deino,FASE 1,Negro,0.8,17.3,no,no,NINGUNO,Ataque,
634,Zweilous,FASE 2,Negro,1.4,50.0,no,no,NIVEL,Ataque,level-up version_group=black-white min_level=50
635,Hydreigon,FASE 3,Negro,1.8,160.0,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=64
636,Larvesta,FASE 1,Rojo,1.1,28.8,no,no,NINGUNO,Ataque,
637,Volcarona,FASE 2,Rojo,1.6,46.0,no,no,NIVEL,At. Esp.,level-up version_group=black-white min_level=59
638,Cobalion,ÚNICA,Verde,2.1,250.0,no,no,NINGUNO,Defensa,
639,Terrakion,ÚNICA,Negro,1.9,260.0,no,no,NINGUNO,Ataque,
640,Virizion,ÚNICA,Blanco,2.0,200.0,no,no,NINGUNO,Def. Esp.,
641,Tornadus,ÚNICA,Morado,1.5,63.0,no,no,NINGUNO,At. Esp.,
642,Thundurus,ÚNICA,Gris,1.5,61.0,no,no,NINGUNO,At. Esp.,
643,Reshiram,ÚNICA,Azul,3.2,330.0,no,no,NINGUNO,At. Esp.,
644,Zekrom,ÚNICA,ninguno,2.9,345.0,no,no,NINGUNO,Ataque,
645,Landorus,ÚNICA,Rojo,1.5,68.0,no,no,NINGUNO,Ataque,
646,Kyurem,ÚNICA,Azul,3.0,325.0,no,no,NINGUNO,Ataque + At. Esp.,
647,Keldeo,ÚNICA,Azul,1.4,48.5,no,no,NINGUNO,At. Esp.,
648,Meloetta,ÚNICA,Verde,0.6,6.5,no,no,NINGUNO,At. Esp. + Def. Esp.,
649,Genesect,ÚNICA,Rosa,1.5,82.5,no,no,NINGUNO,Ataque + At. Esp.,
650,Chespin,FASE 1,Marrón,0.4,9.0,su evolución,no,NINGUNO,Defensa,
651,Quilladin,FASE 2,Marrón,0.7,29.0,su evolución,no,NIVEL,Defensa,level-up version_group=x-y min_level=16
652,Chesnaught,FASE 3,Marrón,1.6,90.0,sí,no,NIVEL,Defensa,level-up version_group=x-y min_level=36
653,Fennekin,FASE 1,Amarillo,0.4,9.4,su evolución,no,NINGUNO,At. Esp.,
654,Braixen,FASE 2,Amarillo,1.0,14.5,su evolución,no,NIVEL,At. Esp.,level-up version_group=x-y min_level=16
655,Delphox,FASE 3,Amarillo,1.5,39.0,sí,no,NIVEL,At. Esp.,level-up version_group=x-y min_level=36
656,Froakie,FASE 1,Gris,0.3,7.0,su evolución,no,NINGUNO,Velocidad,
657,Frogadier,FASE 2,Gris,0.6,10.9,su evolución,no,NIVEL,Velocidad,level-up version_group=x-y min_level=16
658,Greninja,FASE 3,Blanco,1.5,40.0,sí,no,NIVEL,Velocidad,level-up version_group=x-y min_level=36
659,Bunnelby,FASE 1,Gris,0.4,5.0,no,no,NINGUNO,Velocidad,
660,Diggersby,FASE 2,Gris,1.0,42.4,no,no,NIVEL,PS,level-up version_group=x-y min_level=20
661,Fletchling,FASE 1,Azul,0.3,1.7,no,no,NINGUNO,Velocidad,
662,Fletchinder,FASE 2,Amarillo,0.7,16.0,no,no,NIVEL,Velocidad,level-up version_group=x-y min_level=17
663,Talonflame,FASE 3,Gris,1.2,24.5,no,no,NIVEL,Velocidad,level-up version_group=x-y min_level=35
664,Scatterbug,FASE 1,Gris,0.3,2.5,no,no,NINGUNO,Defensa,
665,Spewpa,FASE 2,Gris,0.3,8.4,no,no,NIVEL,Defensa,level-up version_group=x-y min_level=9
666,Vivillon,FASE 3,Rosa,1.2,17.0,no,no,NIVEL,At. Esp.,level-up version_group=x-y min_level=12
667,Litleo,FASE 1,Negro,0.6,13.5,su evolución,no,NINGUNO,At. Esp.,
668,Pyroar,FASE 2,Rojo,1.5,81.5,sí,no,NIVEL,At. Esp.,level-up version_group=x-y min_level=35
669,Flabébé,FASE 1,Rojo,0.1,0.1,su evolución,no,NINGUNO,Def. Esp.,
670,Floette,FASE 2,Verde,0.2,0.9,sí,no,NIVEL,Def. Esp.,level-up version_group=x-y min_level=19 required_pokemon_form=flabebe-red evolved_pokemon_form=floette-red || level-up version_group=x-y min_level=19 required_pokemon_form=flabebe-yellow evolved_pokemon_form=floette-yellow || level-up version_group=x-y min_level=19 required_pokemon_form=flabebe-orange evolved_pokemon_form=floette-orange || level-up version_group=x-y min_level=19 required_pokemon_form=flabebe-blue evolved_pokemon_form=floette-blue || level-up version_group=x-y min_level=19 required_pokemon_form=flabebe-white evolved_pokemon_form=floette-white
671,Florges,FASE 3,Verde,1.1,10.0,no,no,PIEDRA,Def. Esp.,use-item version_group=x-y item=shiny-stone required_pokemon_form=floette-red evolved_pokemon_form=florges-red || use-item version_group=x-y item=shiny-stone required_pokemon_form=floette-yellow evolved_pokemon_form=florges-yellow || use-item version_group=x-y item=shiny-stone required_pokemon_form=floette-orange evolved_pokemon_form=florges-orange || use-item version_group=x-y item=shiny-stone required_pokemon_form=floette-blue evolved_pokemon_form=florges-blue || use-item version_group=x-y item=shiny-stone required_pokemon_form=floette-white evolved_pokemon_form=florges-white
672,Skiddo,FASE 1,Verde,0.9,31.0,no,no,NINGUNO,PS,
673,Gogoat,FASE 2,Verde,1.7,91.0,no,no,NIVEL,PS,level-up version_group=x-y min_level=32
674,Pancham,FASE 1,Gris,0.6,8.0,no,no,NINGUNO,Ataque,
675,Pangoro,FASE 2,Gris,2.1,136.0,no,no,NIVEL,Ataque,level-up version_group=x-y min_level=32 party_type=dark
676,Furfrou,ÚNICA,Gris,1.2,28.0,no,no,NINGUNO,Velocidad,
677,Espurr,FASE 1,ninguno,0.3,3.5,su evolución,no,NINGUNO,Velocidad,
678,Meowstic,FASE 2,Blanco,0.6,8.5,sí,no,NIVEL,Velocidad,level-up version_group=x-y gender=2 min_level=25 evolved_pokemon_form=meowstic-male || level-up version_group=x-y gender=1 min_level=25 evolved_pokemon_form=meowstic-female
679,Honedge,FASE 1,Azul,0.8,2.0,no,no,NINGUNO,Defensa,
680,Doublade,FASE 2,Rosa,0.8,4.5,no,no,NIVEL,Defensa,level-up version_group=x-y min_level=35
681,Aegislash,FASE 3,Amarillo,1.7,53.0,no,no,PIEDRA,Defensa + Def. Esp.,use-item version_group=x-y item=dusk-stone
682,Spritzee,FASE 1,Blanco,0.2,0.5,no,no,NINGUNO,PS,
683,Aromatisse,FASE 2,ninguno,0.8,15.5,no,no,INTERCAMBIO,PS,trade version_group=black-white held_item=sachet
684,Swirlix,FASE 1,Rosa,0.4,3.5,no,no,NINGUNO,Defensa,
685,Slurpuff,FASE 2,Rosa,0.8,5.0,no,no,INTERCAMBIO,Defensa,trade version_group=x-y held_item=whipped-dream
686,Inkay,FASE 1,Blanco,0.4,3.5,su evolución,no,NINGUNO,Ataque,
687,Malamar,FASE 2,Morado,1.5,47.0,sí,no,NIVEL,Ataque,level-up version_group=x-y min_level=30 turn_upside_down=True
688,Binacle,FASE 1,Verde,0.5,31.0,su evolución,no,NINGUNO,Defensa,
689,Barbaracle,FASE 2,Blanco,1.3,96.0,sí,no,NIVEL,Defensa,level-up version_group=x-y min_level=39
690,Skrelp,FASE 1,Morado,0.5,7.3,su evolución,no,NINGUNO,NO TIENE,
691,Dragalge,FASE 2,Rojo,1.8,81.5,sí,no,NIVEL,Def. Esp.,level-up version_group=x-y min_level=48
692,Clauncher,FASE 1,Negro,0.5,8.3,no,no,NINGUNO,Def. Esp.,
693,Clawitzer,FASE 2,Amarillo,1.3,35.3,no,no,NIVEL,At. Esp.,level-up version_group=x-y min_level=37
694,Helioptile,FASE 1,Negro,0.5,6.0,no,no,NINGUNO,Velocidad,
695,Heliolisk,FASE 2,Negro,1.0,21.0,no,no,PIEDRA,At. Esp. + Velocidad,use-item version_group=x-y item=sun-stone
696,Tyrunt,FASE 1,Negro,0.8,26.0,no,no,NINGUNO,Ataque,
697,Tyrantrum,FASE 2,Blanco,2.5,270.0,no,no,NIVEL,Ataque,level-up version_group=x-y min_level=39 time_of_day=day
698,Amaura,FASE 1,Blanco,1.3,25.2,no,no,NINGUNO,PS,
699,Aurorus,FASE 2,Blanco,2.7,225.0,no,no,NIVEL,PS,level-up version_group=x-y min_level=39 time_of_day=night
700,Sylveon,FASE 2,Blanco,1.0,23.5,no,no,AMISTAD,Def. Esp.,level-up version_group=sword-shield known_move_type=fairy min_happiness=160 required_pokemon_form=eevee
701,Hawlucha,ÚNICA,Rojo,0.8,21.5,sí,no,NINGUNO,Velocidad,
702,Dedenne,ÚNICA,Negro,0.2,2.2,no,no,NINGUNO,Velocidad,
703,Carbink,ÚNICA,Azul,0.3,5.7,no,no,NINGUNO,Defensa + Def. Esp.,
704,Goomy,FASE 1,Blanco,0.3,2.8,no,no,NINGUNO,Def. Esp.,
705,Sliggoo,FASE 2,Blanco,0.8,17.5,no,Hisui,NIVEL,Def. Esp.,level-up version_group=x-y min_level=40
706,Goodra,FASE 3,Blanco,2.0,150.5,no,Hisui,NIVEL,Def. Esp.,level-up version_group=x-y min_level=50 needs_overworld_rain=True
707,Klefki,ÚNICA,Amarillo,0.2,3.0,no,no,NINGUNO,Defensa,
708,Phantump,FASE 1,Negro,0.4,7.0,no,no,NINGUNO,Ataque,
709,Trevenant,FASE 2,Verde,1.5,71.0,no,no,INTERCAMBIO,Ataque,trade version_group=x-y
710,Pumpkaboo,FASE 1,Rosa,0.4,5.0,no,no,NINGUNO,Defensa,
711,Gourgeist,FASE 2,ninguno,0.9,12.5,no,no,INTERCAMBIO,Defensa,trade version_group=x-y required_pokemon_form=pumpkaboo-average evolved_pokemon_form=gourgeist-average || trade version_group=x-y required_pokemon_form=pumpkaboo-small evolved_pokemon_form=gourgeist-small || trade version_group=x-y required_pokemon_form=pumpkaboo-large evolved_pokemon_form=gourgeist-large || trade version_group=x-y required_pokemon_form=pumpkaboo-super evolved_pokemon_form=gourgeist-super
712,Bergmite,FASE 1,Blanco,1.0,99.5,no,no,NINGUNO,Defensa,
713,Avalugg,FASE 2,ninguno,2.0,505.0,no,Hisui,NIVEL,Defensa,level-up version_group=x-y min_level=37
714,Noibat,FASE 1,Gris,0.5,8.0,no,no,NINGUNO,Velocidad,
715,Noivern,FASE 2,Negro,1.5,85.0,no,no,NIVEL,Velocidad,level-up version_group=x-y min_level=48
716,Xerneas,ÚNICA,Negro,3.0,215.0,no,no,NINGUNO,Ataque + At. Esp.,
717,Yveltal,ÚNICA,Negro,5.8,203.0,no,no,NINGUNO,Ataque + At. Esp.,
718,Zygarde,ÚNICA,Negro,5.0,305.0,sí,no,NINGUNO,Defensa,
719,Diancie,ÚNICA,Gris,0.7,8.8,sí,no,NINGUNO,Defensa + Def. Esp.,
720,Hoopa,ÚNICA,Gris,0.5,9.0,no,no,NINGUNO,At. Esp.,
721,Volcanion,ÚNICA,Rojo,1.7,195.0,no,no,NINGUNO,At. Esp.,
722,Rowlet,FASE 1,Blanco,0.3,1.5,no,no,NINGUNO,PS,
723,Dartrix,FASE 2,Blanco,0.7,16.0,no,no,NIVEL,PS,level-up version_group=sun-moon min_level=17
724,Decidueye,FASE 3,Verde,1.6,36.6,no,Hisui,NIVEL,Ataque,level-up version_group=sun-moon min_level=34
725,Litten,FASE 1,Azul,0.4,4.3,no,no,NINGUNO,Velocidad,
726,Torracat,FASE 2,Negro,0.7,25.0,no,no,NIVEL,Velocidad,level-up version_group=sun-moon min_level=17
727,Incineroar,FASE 3,Negro,1.8,83.0,no,no,NIVEL,Ataque,level-up version_group=sun-moon min_level=34
728,Popplio,FASE 1,ninguno,0.4,7.5,no,no,NINGUNO,At. Esp.,
729,Brionne,FASE 2,Blanco,0.6,17.5,no,no,NIVEL,At. Esp.,level-up version_group=sun-moon min_level=17
730,Primarina,FASE 3,Blanco,1.8,44.0,no,no,NIVEL,At. Esp.,level-up version_group=sun-moon min_level=34
731,Pikipek,FASE 1,Rojo,0.3,1.2,no,no,NINGUNO,Ataque,
732,Trumbeak,FASE 2,ninguno,0.6,14.8,no,no,NIVEL,Ataque,level-up version_group=sun-moon min_level=14
733,Toucannon,FASE 3,Rojo,1.1,26.0,no,no,NIVEL,Ataque,level-up version_group=sun-moon min_level=28
734,Yungoos,FASE 1,Rojo,0.4,6.0,no,no,NINGUNO,Ataque,
735,Gumshoos,FASE 2,Amarillo,0.7,14.2,no,no,NIVEL,Ataque,level-up version_group=sun-moon min_level=20 time_of_day=day
736,Grubbin,FASE 1,Amarillo,0.4,4.4,no,no,NINGUNO,Ataque,
737,Charjabug,FASE 2,ninguno,0.5,10.5,no,no,NIVEL,Defensa,level-up version_group=sun-moon min_level=20
738,Vikavolt,FASE 3,Blanco,1.5,45.0,no,no,PIEDRA,At. Esp.,use-item version_group=sword-shield item=thunder-stone
739,Crabrawler,FASE 1,Azul,0.6,7.0,su evolución,no,NINGUNO,Ataque,
740,Crabominable,FASE 2,Azul,1.7,180.0,sí,no,PIEDRA,Ataque,use-item version_group=scarlet-violet item=ice-stone
741,Oricorio,ÚNICA,Gris,0.6,3.4,no,no,NINGUNO,At. Esp.,
